To Date,AQI,CO (mg/m³),NO₂ (µg/m³ ),O₃ (µg/m³ ),H₂S (µg/m³ ),NO (µg/m³ ),SO₂ (µg/m³),R. Humidity (%),Leq (dB),Light (Lux),Lmax (dB),Lmin (dB),PM₂.₅ (µg/m³ ),PM₁₀ (µg/m³),PM₁ (µg/m³ ),Temperature (°C),UV ( Index),Wind Direction (degree),Wind Speed (m/s),Station,CO₂ (ppm),Battery (%),Month,Month Index,Day,Day Index,Hour,Year,Date,Wind Speed (km/h),Wind Direction (compass)
2020-03-02 00:59:00,15,1.51,4.59,22.64,11.28,12.55,18.97,20.12,64.27,8477.88,78.35,47.52,2.05,6.33,0.38,23.19,0.91,227.73,4.2,Secondary Runway 01,0,0,March,3,Monday,0,0,2020,2020-03-02,15.12,SW
2020-03-02 00:59:00,15,1.59,10.5,18.67,21.24,42.65,25.26,19.75,59.43,19847.47,69.55,53.28,3.43,15.34,0.6,23.95,2.03,219.05,4.25,ATC Tower,500.18,0,March,3,Monday,0,0,2020,2020-03-02,15.3,SW
2020-03-02 00:59:00,15,1.52,13.19,7.58,16.55,20.83,22.32,20.26,70.39,12395.8,88.44,51.1,0,0,0,23.23,1.52,231.74,4.26,Primary Runway,427.18,0,March,3,Monday,0,0,2020,2020-03-02,15.336,SW
2020-03-02 00:59:00,20,1.52,10.33,11.07,20.78,8.49,38.49,18.23,62.64,13936.24,71.07,59.48,0,0,0,24.77,1.69,236.67,4.17,Fire Station,499.65,0,March,3,Monday,0,0,2020,2020-03-02,15.012,WSW
2020-03-02 00:59:00,21,1.52,12.01,23.54,14.38,5.62,14.93,21.56,61.23,13937.09,72.82,49.89,5.04,5.04,4.98,24.2,1.44,229.57,4.24,Privet Aviation,421.71,0,March,3,Monday,0,0,2020,2020-03-02,15.264,SW
2020-03-02 00:59:00,15,1.52,2.5,15.02,17.24,2.25,9.75,20.84,63.04,6312.48,78.78,45.07,0,0,0,21.67,0.75,235.42,4.08,Secondary Runway 02,460.72,0,March,3,Monday,0,0,2020,2020-03-02,14.688,SW
2020-03-02 00:59:00,57,1.53,7.6,18.73,10.04,2.06,26.59,19.86,75.06,15883.47,88.96,62.47,14.97,50.74,2.91,22.7,1.28,220.95,4.3,Air Cargo,0,0,March,3,Monday,0,0,2020,2020-03-02,15.48,SW
2020-03-02 00:59:00,15,1.54,7.34,18.08,23.99,20.09,25.62,19.5,53.37,17790.58,65.66,45.7,0.01,0.01,0,24.74,1.93,225.91,4.27,Royal Terminal,434.38,0,March,3,Monday,0,0,2020,2020-03-02,15.372,SW
2020-03-03 00:59:00,92,1.55,8.39,21.34,5.32,6.4,9.8,24.14,74.56,15459.47,89.27,60.96,31.44,89.44,5.36,17.19,1.29,219.91,3.77,Air Cargo,0,0,March,3,Tuesday,1,0,2020,2020-03-03,13.572,SW
2020-03-03 00:59:00,34,1.62,7.47,21.56,14.87,15.63,9.75,23.28,59.54,18094.56,71.16,52.98,8.05,30.66,1.14,18.89,1.91,219.95,3.96,ATC Tower,495.6,0,March,3,Tuesday,1,0,2020,2020-03-03,14.256,SW
2020-03-03 00:59:00,20,1.54,5.66,23.01,11.57,4.93,4.19,24.63,64.4,8019.48,78.18,49.05,4.78,12.99,0.74,17.75,0.94,231.73,3.64,Secondary Runway 01,0,0,March,3,Tuesday,1,0,2020,2020-03-03,13.104,SW
2020-03-03 00:59:00,22,1.52,9.71,24.78,10.82,3.74,12.68,25.28,59.7,12901.57,72.58,47.23,5.32,5.32,5.26,19.4,1.33,227.46,3.8,Privet Aviation,423.61,0,March,3,Tuesday,1,0,2020,2020-03-03,13.68,SW
2020-03-03 00:59:00,15,1.52,10.61,12.01,9.41,3.45,10.45,24.81,69.58,13812.56,88.09,48.21,0,0,0,17.86,1.68,227.46,3.8,Primary Runway,424.52,0,March,3,Tuesday,1,0,2020,2020-03-03,13.68,SW
2020-03-03 00:59:00,15,1.55,3.09,15.8,13.66,2,5.9,27.2,63.8,6998.2,78.5,46.84,0,0,0,14.82,0.91,251.45,3.68,Secondary Runway 02,471.26,0,March,3,Tuesday,1,0,2020,2020-03-03,13.248,WSW
2020-03-03 00:59:00,15,1.53,8.77,13.13,15.57,0,21.46,22.49,61.61,14374.01,68.87,58.97,0,0,0,19.4,1.75,231.32,3.86,Fire Station,503.85,0,March,3,Tuesday,1,0,2020,2020-03-03,13.896,SW
2020-03-03 00:59:00,15,1.54,7.7,19.22,10.7,1.6,9.54,24.96,53.71,16782.76,65.04,46.88,0,0,0,18.47,1.9,237.74,3.88,Royal Terminal,438.1,0,March,3,Tuesday,1,0,2020,2020-03-03,13.968,WSW
2020-03-04 00:59:00,16,1.6,9.63,18.38,6.44,10.1,11.32,21.46,73.9,18689.63,89.45,60.83,3.72,12.33,0.78,18.52,1.67,211.1,1.86,Air Cargo,0,0,March,3,Wednesday,2,0,2020,2020-03-04,6.696,SSW
2020-03-04 00:59:00,23,1.56,10.91,21.54,13.24,37.39,13.68,23.76,58.75,14139.56,71.51,48.54,5.52,5.52,5.46,20.54,1.62,205.43,1.86,Privet Aviation,426.43,0,March,3,Wednesday,2,0,2020,2020-03-04,6.696,SSW
2020-03-04 00:59:00,15,1.56,8.39,12.54,17.27,31.01,28.72,20.07,62.24,14438.94,68.83,59.28,0,0,0,20.94,1.97,182,1.95,Fire Station,505.99,0,March,3,Wednesday,2,0,2020,2020-03-04,7.02,S
2020-03-04 00:59:00,15,1.56,3.74,15.21,14.13,5.5,6.39,23.16,62.43,7923.46,78.93,45.63,0,0,0,17.02,1.09,207.29,1.95,Secondary Runway 02,471.04,0,March,3,Wednesday,2,0,2020,2020-03-04,7.02,SSW
2020-03-04 00:59:00,15,1.56,10.73,10.05,12.57,33.74,15.12,22.42,69.65,9510.11,88.05,49.25,0,0,0,19.3,1.86,194.05,1.86,Primary Runway,427.02,0,March,3,Wednesday,2,0,2020,2020-03-04,6.696,SSW
2020-03-04 00:59:00,15,1.56,6.55,18.98,17.7,35.94,16.38,21.11,55.29,21339.53,66,47.94,0,0,0,21.23,2.53,207.95,1.91,Royal Terminal,437.21,0,March,3,Wednesday,2,0,2020,2020-03-04,6.876,SSW
2020-03-04 00:59:00,15,1.56,7.43,21.2,11.26,11.03,13.7,22.5,63.11,9725.05,78.35,48.03,0.58,1.95,0.1,19.35,1.32,216.32,1.8,Secondary Runway 01,0,0,March,3,Wednesday,2,0,2020,2020-03-04,6.48,SW
2020-03-04 00:59:00,16,1.67,9.8,18,18.04,18.79,15.25,23.04,59.72,16551.88,70.28,53.52,0.76,4.06,0.13,18.66,1.97,192.39,1.84,ATC Tower,498.29,0,March,3,Wednesday,2,0,2020,2020-03-04,6.624,SSW
2020-03-05 00:59:00,15,1.58,8.99,10.95,17.44,8.16,28.58,20.15,62.3,12450.15,68.47,59.47,0,0,0,20.84,1.48,100.5,1.76,Fire Station,510.61,0,March,3,Thursday,3,0,2020,2020-03-05,6.336,E
2020-03-05 00:59:00,15,1.57,11.84,8.54,13.23,13.41,16.9,20.54,69.82,11353.59,87.83,50.7,0,0,0,20.93,1.89,140.65,1.78,Primary Runway,426.7,0,March,3,Thursday,3,0,2020,2020-03-05,6.408,SE
2020-03-05 00:59:00,15,1.57,6.42,21.73,11.29,12.52,13.18,20.08,63.1,10915.98,78.03,48.35,0.61,2.69,0.1,20.9,1.35,142.81,1.81,Secondary Runway 01,0,0,March,3,Thursday,3,0,2020,2020-03-05,6.516,SE
2020-03-05 00:59:00,21,1.58,11.12,20.57,11.35,6.97,13.73,23.2,58.92,14606.5,71.45,46.74,5.09,5.09,5.03,20.6,1.52,140.65,1.78,Privet Aviation,422.28,0,March,3,Thursday,3,0,2020,2020-03-05,6.408,SE
2020-03-05 00:59:00,16,1.6,9.3,17.85,7.25,7.93,12.45,21.37,73.66,14645.6,89.03,57.94,3.02,13.72,0.6,18.77,1.16,136.68,1.83,Air Cargo,0,0,March,3,Thursday,3,0,2020,2020-03-05,6.588,SE
2020-03-05 00:59:00,15,1.57,3.74,14.55,14.43,5.25,6.34,21.63,62.3,7800.38,78.65,44.84,0,0,0,18.51,1.01,141.45,1.75,Secondary Runway 02,466.75,0,March,3,Thursday,3,0,2020,2020-03-05,6.3,SE
2020-03-05 00:59:00,15,1.58,8,17.24,18.08,5.66,16.11,20.81,54.91,18449.37,66.7,46.84,0,0,0,21.52,2.17,135.3,1.86,Royal Terminal,435.86,0,March,3,Thursday,3,0,2020,2020-03-05,6.696,SE
2020-03-05 00:59:00,16,1.64,10.71,17.69,18.58,28.42,18.34,20.76,59.41,19659.46,68.87,53,0.67,4.64,0.12,20.76,2.2,148.78,1.86,ATC Tower,499.19,0,March,3,Thursday,3,0,2020,2020-03-05,6.696,SSE
2020-03-06 00:59:00,21,1.61,12.14,21.18,15.5,31.8,15.22,20.67,59.65,14879.83,71.62,50.29,5.12,5.12,5.06,23.76,1.54,134.35,1.71,Privet Aviation,428.28,0,March,3,Friday,4,0,2020,2020-03-06,6.156,SE
2020-03-06 00:59:00,16,1.68,10.09,19.28,11.89,17.31,20.67,19.24,64.51,10056.34,80.17,47.85,0.93,4.24,0.15,22.52,1.29,122.05,1.83,Secondary Runway 01,0,0,March,3,Friday,4,0,2020,2020-03-06,6.588,ESE
