To Date,AQI,Battery (%),CO₂ (ppm),CO (mg/m³),NO₂ (µg/m³ ),O₃ (µg/m³ ),H₂S (µg/m³ ),NO (µg/m³ ),SO₂ (µg/m³),R. Humidity (%),Leq (dB),Light (Lux),Lmax (dB),Lmin (dB),PM₂.₅ (µg/m³ ),PM₁₀ (µg/m³),Temperature (°C),UV ( Index),Wind Direction (degree),Wind Speed (m/s),Station,PM₁ (µg/m³ ),Month,Month Index,Day,Day Index,Hour,Year,Date,Wind Speed (km/h),Wind Direction (compass)
2020-03-01 08:59:00,15,0,496.86,1.55,9.11,20.04,12.35,103.17,26.44,13.92,60.3,48648.76,69.06,54.53,3.41,14.3,29.03,4.88,221.25,3.4,ATC Tower,0.6,March,3,Sunday,6,8,2020,2020-03-01,12.24,SW
2020-03-01 08:59:00,59,0,0,1.53,5.89,16.43,6.26,5.42,39.04,12.91,74.92,44970.33,89.51,62.04,15.98,53.7,28.58,3.62,210,3.23,Air Cargo,3.27,March,3,Sunday,6,8,2020,2020-03-01,11.628,SSW
2020-03-01 08:59:00,20,0,419.98,1.51,11.91,21.12,5.88,5.18,5.9,16.22,64.3,34459.11,75.72,52.05,4.91,4.91,28.94,3.11,217.5,3.4,Privet Aviation,4.85,March,3,Sunday,6,8,2020,2020-03-01,12.24,SW
2020-03-01 08:59:00,15,0,441.51,1.5,4.57,17.3,24.28,42.97,27.56,13.29,53.95,44884.57,67.25,45.41,0,0,30.86,4.6,223.75,3.46,Royal Terminal,0,March,3,Sunday,6,8,2020,2020-03-01,12.456,SW
2020-03-01 08:59:00,15,0,430.88,1.51,14.58,4.97,10.08,4.11,16.51,14.41,71.4,33830.12,89.2,52.54,0,0,28.71,3.37,205.71,3.37,Primary Runway,0,March,3,Sunday,6,8,2020,2020-03-01,12.132,SSW
2020-03-01 08:59:00,19,0,501.96,1.5,11.01,12.03,16.02,4.6,35.45,13.14,63.86,35826.08,74.44,60.29,0,0,29.87,3.94,223.75,3.46,Fire Station,0,March,3,Sunday,6,8,2020,2020-03-01,12.456,SW
2020-03-01 08:59:00,15,0,0,1.51,4.44,23.66,3.6,27.46,24,14.98,61.62,25273.94,77.86,45.34,2.35,8.13,28.13,2.72,210,3.23,Secondary Runway 01,0.44,March,3,Sunday,6,8,2020,2020-03-01,11.628,SSW
2020-03-01 08:59:00,15,0,461.63,1.51,1.75,14.02,14.64,6.49,3.75,14.81,60.05,17677.84,77.39,42.02,0,0,27.27,2.08,220,3.53,Secondary Runway 02,0,March,3,Sunday,6,8,2020,2020-03-01,12.708,SW
2020-03-01 16:59:00,18,0,425.08,1.5,11.16,5.67,24.06,56.29,34.01,13.59,69.81,5764.19,88,50.67,0,0,25.49,1.29,347.5,3.08,Primary Runway,0,March,3,Sunday,6,16,2020,2020-03-01,11.088,NNW
2020-03-01 16:59:00,15,0,0,1.51,3.2,20.99,11.93,10.47,21.88,14.54,65.91,1196.59,79.6,48.68,0.68,2.25,25.04,0.11,347.5,3.08,Secondary Runway 01,0.13,March,3,Sunday,6,16,2020,2020-03-01,11.088,NNW
2020-03-01 16:59:00,23,0,0,1.52,7.13,17.02,12.43,0.79,21.33,13.47,76.15,2118.85,87.92,66.35,5.56,21.24,24.59,0.14,345.71,3.37,Air Cargo,1.11,March,3,Sunday,6,16,2020,2020-03-01,12.132,NNW
2020-03-01 16:59:00,15,0,455.42,1.53,1.84,12.17,18.75,0.23,13.15,15.5,64.6,854.67,80.75,46.04,0,0,23.3,0.09,347.5,2.81,Secondary Runway 02,0,March,3,Sunday,6,16,2020,2020-03-01,10.116,NNW
2020-03-01 16:59:00,19,0,426.8,1.56,7.47,16.26,31.39,14,34.93,14.31,54.57,4611.48,65.56,47.18,0.02,0.04,26.32,0.81,345.71,3.37,Royal Terminal,0,March,3,Sunday,6,16,2020,2020-03-01,12.132,NNW
2020-03-01 16:59:00,21,0,508.74,1.66,14.79,12.58,30.8,11.72,39.2,13.58,59.34,4149.13,68.48,53.43,1.36,7.14,26.48,0.55,345,2.82,ATC Tower,0.25,March,3,Sunday,6,16,2020,2020-03-01,10.152,NNW
2020-03-01 16:59:00,28,0,493.78,1.52,10.9,7.26,27.56,20.86,52.32,11.83,62.32,5746.31,69.75,59.19,0,0,27.47,1.12,347.5,2.81,Fire Station,0,March,3,Sunday,6,16,2020,2020-03-01,10.116,NNW
2020-03-01 16:59:00,21,0,423.87,1.51,11.82,19.59,23.97,12.56,25.26,14.6,62.29,6095.83,72.32,52.1,5.05,5.05,27.24,1.14,347.14,2.93,Privet Aviation,4.99,March,3,Sunday,6,16,2020,2020-03-01,10.548,NNW
2020-03-02 00:59:00,22,0,421.56,1.54,12.27,29.39,14.5,0,14.91,32.98,57.24,276.19,70.35,45.8,5.17,5.17,16.8,0.02,138.75,6.23,Privet Aviation,5.1,March,3,Monday,0,0,2020,2020-03-02,22.428,SE
2020-03-02 00:59:00,15,0,433.82,1.55,10.39,20.79,16.25,0,14.07,31.8,51.52,5.13,63.93,44.55,0,0,16.18,0,108.57,6.09,Royal Terminal,0,March,3,Monday,0,0,2020,2020-03-02,21.924,ESE
2020-03-02 00:59:00,15,0,503.21,1.55,9.07,13.9,18.76,0,27.69,29.72,61.75,236.33,69.02,58.97,0,0,16.97,0.03,138.75,6.23,Fire Station,0,March,3,Monday,0,0,2020,2020-03-02,22.428,SE
2020-03-02 00:59:00,15,0,426.05,1.54,13.98,11.76,14.69,0,15.69,32.05,70.08,272.39,88.21,50.28,0,0,16.17,0.13,138.75,6.23,Primary Runway,0,March,3,Monday,0,0,2020,2020-03-02,22.428,SE
2020-03-02 00:59:00,75,0,0,1.54,9.8,22.75,11.42,0,19.41,33.21,74.13,561.23,89.45,59,23.36,77.27,14.93,0.08,107.14,6.3,Air Cargo,4.34,March,3,Monday,0,0,2020,2020-03-02,22.68,ESE
2020-03-02 00:59:00,22,0,496.63,1.58,8.43,22.3,23.21,0,11.92,31.71,58.5,387.44,71.03,51.72,5.22,23.55,15.97,0.06,108.57,6.46,ATC Tower,0.9,March,3,Monday,0,0,2020,2020-03-02,23.256,ESE
2020-03-02 00:59:00,15,0,0,1.53,6.32,23.5,18.19,0,10.64,31.64,65.03,3.29,77.4,48.39,3.31,9.17,16.14,0,108.57,6.46,Secondary Runway 01,0.6,March,3,Monday,0,0,2020,2020-03-02,23.256,ESE
2020-03-02 00:59:00,15,0,465.11,1.54,3.93,18.87,18.36,0,12.31,32.21,64.47,404.93,78.2,47.14,0,0,14.45,0.08,138.75,5.9,Secondary Runway 02,0,March,3,Monday,0,0,2020,2020-03-02,21.24,SE
2020-03-02 08:59:00,54,0,491.51,1.55,3.8,25.13,4.01,38.72,4.45,19.77,60.25,46477.78,73.9,53.05,13.23,52.04,22.84,4.83,271.25,5.93,ATC Tower,1.81,March,3,Monday,0,8,2020,2020-03-02,21.348,W
2020-03-02 08:59:00,15,0,439.8,1.49,4.5,21.83,2.4,4.53,0.55,18.38,51.74,43849.16,63.62,45.55,0,0,24.77,4.71,271.25,5.93,Royal Terminal,0,March,3,Monday,0,8,2020,2020-03-02,21.348,W
2020-03-02 08:59:00,149,0,0,1.51,4.27,24.74,0.35,4.37,4.27,20,75.68,45672.49,89.81,62.46,55.11,158.46,21.21,3.72,260,5.81,Air Cargo,9.34,March,3,Monday,0,8,2020,2020-03-02,20.916,W
2020-03-02 08:59:00,38,0,0,1.51,2.52,24.64,4.82,11.93,5.74,19.35,66.61,26282.39,79.98,46.49,9.22,25.36,23.34,2.93,301.67,5.83,Secondary Runway 01,1.39,March,3,Monday,0,8,2020,2020-03-02,20.988,WNW
2020-03-02 08:59:00,19,0,420.01,1.47,8.15,26.31,1.51,8.67,2.33,20.32,61.42,34066.08,73.91,49.49,4.56,4.56,24.87,3.2,271.25,5.93,Privet Aviation,4.5,March,3,Monday,0,8,2020,2020-03-02,21.348,W
2020-03-02 08:59:00,15,0,459.98,1.52,0.45,19.1,9.32,5.03,1.73,22.95,66.4,20979.67,79.78,45.49,0,0,19.47,2.59,300,6.18,Secondary Runway 02,0,March,3,Monday,0,8,2020,2020-03-02,22.248,WNW
2020-03-02 08:59:00,15,0,423.42,1.49,9.8,15.29,3.22,4.47,2.02,19.87,71.04,36264.77,89.53,47.46,0,0,22.93,3.97,271.25,5.93,Primary Runway,0,March,3,Monday,0,8,2020,2020-03-02,21.348,W
2020-03-02 08:59:00,15,0,501.69,1.5,7.73,15.55,9.85,0,11.55,19.08,61.95,34546.49,70.07,59.13,0,0,23.49,3.9,273.75,5.79,Fire Station,0,March,3,Monday,0,8,2020,2020-03-02,20.844,W
2020-03-02 16:59:00,15,0,465.44,1.54,3.05,17.37,14.55,0.6,6.39,21.74,65.2,1197.41,80.45,46.79,0,0,17.51,0.15,133.17,3.88,Secondary Runway 02,0,March,3,Monday,0,16,2020,2020-03-02,13.968,SE
2020-03-02 16:59:00,28,0,496.29,1.62,10.44,21.24,22.01,3.96,14.49,19.45,59.23,3268.06,70.33,53.58,6.67,24.66,20.36,0.43,103.63,3.68,ATC Tower,0.97,March,3,Monday,0,16,2020,2020-03-02,13.248,ESE
2020-03-02 16:59:00,18,0,0,1.54,5.38,24.74,12.6,3.79,3.48,19.72,64.38,1302.57,78.4,49.35,4.4,11.88,20.01,0.14,103.63,3.68,Secondary Runway 01,0.69,March,3,Monday,0,16,2020,2020-03-02,13.248,ESE
2020-03-02 16:59:00,16,0,492.55,1.53,10.69,13.78,21.88,0,30.63,15.75,61.16,6407.58,67.41,58.7,0,0,22.93,1.19,71.67,3.93,Fire Station,0,March,3,Monday,0,16,2020,2020-03-02,14.148,ENE
2020-03-02 16:59:00,21,0,422.93,1.53,11.69,26.62,19.4,2.53,20.12,19.71,59.15,4384.88,71.99,45.47,5.01,5.01,22,0.77,103.63,3.68,Privet Aviation,4.95,March,3,Monday,0,16,2020,2020-03-02,13.248,ESE
2020-03-02 16:59:00,15,0,421.87,1.52,10.48,12.54,14.57,5.88,16.22,20.25,68.7,4977.55,87.26,47.42,0,0,19.55,1.05,103.63,3.68,Primary Runway,0,March,3,Monday,0,16,2020,2020-03-02,13.248,ESE
2020-03-02 16:59:00,15,0,429.02,1.56,9.48,19.99,17.6,0.09,15.46,19.87,54.91,4545.01,64.49,48.93,0,0,20.6,0.73,117,3.84,Royal Terminal,0,March,3,Monday,0,16,2020,2020-03-02,13.824,ESE
2020-03-02 16:59:00,88,0,0,1.53,7.92,23.01,7.33,1.6,13.05,21.11,72.91,2027.72,88.59,59.22,29.79,83.74,18.03,0.16,103.63,3.68,Air Cargo,5.1,March,3,Monday,0,16,2020,2020-03-02,13.248,ESE
2020-03-03 00:59:00,17,0,500.14,1.7,8.41,17.26,19.83,0.4,10.45,33.07,58.98,18.94,68.61,52.1,3,10.15,11.68,0,306.67,1.7,ATC Tower,0.48,March,3,Tuesday,1,0,2020,2020-03-03,6.12,NW
2020-03-03 00:59:00,15,0,514.49,1.57,8.34,10.23,16.56,0,24.44,30.95,61.61,176.35,68.76,59.02,0,0,12.66,0.01,308.63,1.87,Fire Station,0,March,3,Tuesday,1,0,2020,2020-03-03,6.732,NW
2020-03-03 00:59:00,40,0,0,1.61,13.04,16.06,8.03,13.94,11.61,31.73,75.33,597.03,89.51,61.44,9.66,26.92,12.22,0.15,312.71,1.84,Air Cargo,1.68,March,3,Tuesday,1,0,2020,2020-03-03,6.624,NW
2020-03-03 00:59:00,27,0,427.89,1.56,9.3,21.4,11.53,0,15.56,35.82,58.51,253.74,71.83,46.74,6.41,6.41,11.33,0.01,307.5,1.79,Privet Aviation,6.33,March,3,Tuesday,1,0,2020,2020-03-03,6.444,NW
2020-03-03 00:59:00,15,0,0,1.56,8.32,20.06,15.61,0.81,3.77,33.49,62.77,1039.22,76.62,50.67,1.84,4.81,11.29,0.24,307.38,1.94,Secondary Runway 01,0.31,March,3,Tuesday,1,0,2020,2020-03-03,6.984,NW
2020-03-03 00:59:00,15,0,484.08,1.59,5.08,12.15,16.22,0.79,8.65,34.48,60.8,862.69,76.07,47.89,0,0,9.31,0.21,303.75,1.66,Secondary Runway 02,0,March,3,Tuesday,1,0,2020,2020-03-03,5.976,NW
2020-03-03 00:59:00,15,0,428.28,1.55,11.55,8.21,10.45,0,13.15,34.31,69.01,195.35,87.47,49.76,0,0,11.09,0.02,307.5,1.79,Primary Runway,0,March,3,Tuesday,1,0,2020,2020-03-03,6.444,NW
2020-03-03 00:59:00,15,0,444.34,1.58,9.33,15.9,12.99,0,13.34,36,54.64,424.38,66.93,46.43,0,0,10.32,0.13,309.88,1.87,Royal Terminal,0,March,3,Tuesday,1,0,2020,2020-03-03,6.732,NW
2020-03-03 08:59:00,15,0,490.2,1.53,6.13,22.79,5.32,54.79,9.46,16.99,60.35,50340.33,70.7,54.59,0.87,3.51,24.49,5.87,290.57,2.03,ATC Tower,0.15,March,3,Tuesday,1,8,2020,2020-03-03,7.308,WNW
2020-03-03 08:59:00,21,0,421.93,1.49,8.86,25.15,2.62,19.18,2.23,19.33,60.55,34225.7,72.91,50.17,4.96,4.96,24.89,3.3,295.5,2.16,Privet Aviation,4.9,March,3,Tuesday,1,8,2020,2020-03-03,7.776,WNW
2020-03-03 08:59:00,15,0,462.72,1.5,0.88,18.85,9.38,13.85,3.04,15.03,62.72,22445.2,79.69,43.54,0,0,23.97,3.05,289.14,2.1,Secondary Runway 02,0,March,3,Tuesday,1,8,2020,2020-03-03,7.56,WNW
2020-03-03 08:59:00,14,0,501.17,1.49,6.34,17.67,7.82,13.84,13.21,15.21,62.67,39743.19,68.62,60.08,0,0,25.93,4.79,293.43,2.26,Fire Station,0,March,3,Tuesday,1,8,2020,2020-03-03,8.136,WNW
2020-03-03 08:59:00,14,0,439.7,1.48,1.92,21.77,13.35,58.79,9.77,13.54,52.77,51100.97,62.18,46.37,0,0,28.26,5.56,295.5,2.16,Royal Terminal,0,March,3,Tuesday,1,8,2020,2020-03-03,7.776,WNW
2020-03-03 08:59:00,15,0,426.07,1.5,10.76,12.74,4.15,12.21,5.06,16.83,68.21,19456.42,86.74,47.6,0,0,24.71,3.42,286.29,2.17,Primary Runway,0,March,3,Tuesday,1,8,2020,2020-03-03,7.812,WNW
2020-03-03 08:59:00,15,0,0,1.51,4.52,26.17,5.14,26.48,17.92,16.35,62,25115.27,78.43,45.64,0.69,2.25,24.61,3.42,295.5,2.16,Secondary Runway 01,0.14,March,3,Tuesday,1,8,2020,2020-03-03,7.776,WNW
2020-03-03 08:59:00,23,0,0,1.55,3.99,23.34,0.46,7.1,2.07,14.79,73.08,48536.38,89.81,55.8,5.42,15.92,23.57,4.35,300.5,2.16,Air Cargo,1.18,March,3,Tuesday,1,8,2020,2020-03-03,7.776,WNW
2020-03-03 16:59:00,15,0,423.82,1.51,8.28,13.11,21.19,89.03,24.92,17.14,69.56,8841.77,88.92,46.21,0,0,21.79,2.15,31.29,2.48,Primary Runway,0,March,3,Tuesday,1,16,2020,2020-03-03,8.928,NNE
2020-03-03 16:59:00,15,0,463.78,1.55,3.86,17.47,16.1,0.47,7.39,20.38,63.16,659.68,79.4,46.69,0,0,17.57,0.05,28.43,2.62,Secondary Runway 02,0,March,3,Tuesday,1,16,2020,2020-03-03,9.432,NNE
2020-03-03 16:59:00,23,0,421.16,1.51,10.16,25.25,25.09,90.96,23.29,16.76,57.64,7044.64,69.42,48.07,5.5,5.5,25.4,1.53,31.29,2.48,Privet Aviation,5.43,March,3,Tuesday,1,16,2020,2020-03-03,8.928,NNE
2020-03-03 16:59:00,15,0,428.33,1.58,8.34,20.99,25.87,40.61,24.92,18.45,56.8,5185.95,67.05,49.31,0,0,21.95,1.11,29.86,2.55,Royal Terminal,0,March,3,Tuesday,1,16,2020,2020-03-03,9.18,NNE
2020-03-03 16:59:00,15,0,0,1.58,11.57,18.93,10.38,5.24,16.69,20.37,73.54,573.84,88.53,62.84,2.17,8.65,17.71,0.02,35,2.38,Air Cargo,0.42,March,3,Tuesday,1,16,2020,2020-03-03,8.568,NE
2020-03-03 16:59:00,16,0,496.63,1.64,13.76,18.36,26.68,6.07,24.1,18.11,59.28,3024.63,70.98,53.24,0.43,2.92,21.15,0.42,31.13,2.49,ATC Tower,0.08,March,3,Tuesday,1,16,2020,2020-03-03,8.964,NNE
2020-03-03 16:59:00,15,0,0,1.54,8.79,21.73,12.56,2.27,19.34,16.21,63.76,1212.19,78.49,48.55,0.25,0.87,22.72,0.08,31.5,2.63,Secondary Runway 01,0.05,March,3,Tuesday,1,16,2020,2020-03-03,9.468,NNE
